iteration,total,bc,pde,supervised
147,3.3201543e14,8.220619,0.9769622,3.3201543e14
148,3.3201543e14,8.219242,0.98484015,3.3201543e14
149,3.3201543e14,8.217777,0.99248666,3.3201543e14
150,3.3201543e14,8.216309,0.99991703,3.3201543e14
151,3.3201543e14,8.214915,1.0072061,3.3201543e14
152,3.3201543e14,8.213674,1.0144697,3.3201543e14
153,3.3201543e14,8.21265,1.0218467,3.3201543e14
154,3.3201543e14,8.21194,1.0294716,3.3201543e14
155,3.3201543e14,8.21153,1.0374583,3.3201543e14
156,3.3201543e14,8.211422,1.0458702,3.3201543e14
157,3.3201543e14,8.211621,1.0547265,3.3201543e14
158,3.3201543e14,8.2121105,1.0640129,3.3201543e14
159,3.3201543e14,8.2128525,1.0736908,3.3201543e14
160,3.3201543e14,8.213805,1.083708,3.3201543e14
161,3.3201543e14,8.214914,1.0940068,3.3201543e14
162,3.3201543e14,8.216114,1.1045346,3.3201543e14
163,3.3201543e14,8.217335,1.1152458,3.3201543e14
164,3.3201543e14,8.218507,1.1261024,3.3201543e14
165,3.3201543e14,8.219577,1.137069,3.3201543e14
166,3.3201543e14,8.220484,1.1481062,3.3201543e14
167,3.3201543e14,8.221197,1.1591659,3.3201543e14
168,3.3201543e14,8.221703,1.1701896,3.3201543e14
169,3.3201543e14,8.221998,1.1811078,3.3201543e14
170,3.3201543e14,8.222111,1.1918476,3.3201543e14
171,3.3201543e14,8.222063,1.2023348,3.3201543e14
172,3.3201543e14,8.221893,1.212507,3.3201543e14
173,3.3201543e14,8.221649,1.2223153,3.3201543e14
174,3.3201543e14,8.221363,1.2317373,3.3201543e14
175,3.3201543e14,8.221071,1.2407762,3.3201543e14
176,3.3201543e14,8.220785,1.2494618,3.3201543e14
177,3.3201543e14,8.220522,1.257845,3.3201543e14
178,3.3201543e14,8.220268,1.2659917,3.3201543e14
179,3.3201543e14,8.220011,1.2739756,3.3201543e14
180,3.3201543e14,8.219715,1.2818677,3.3201543e14
181,3.3201543e14,8.219356,1.2897317,3.3201543e14
182,3.3201543e14,8.218893,1.2976187,3.3201543e14
183,3.3201543e14,8.218309,1.3055693,3.3201543e14
184,3.3201543e14,8.217594,1.3136139,3.3201543e14
185,3.3201543e14,8.216754,1.3217812,3.3201543e14
186,3.3201543e14,8.215823,1.3300998,3.3201543e14
187,3.3201543e14,8.214845,1.3385994,3.3201543e14
188,3.3201543e14,8.213866,1.3473091,3.3201543e14
